,time,median_length,median_delay,median_speed_kmh,total_records,median_level,Year,Month,Date_no,Hour,Day,level
0,2022-07-06 02:00:00,2201.0,84.0,29.779999,6,1.0,2022,7,6,2,4,1
1,2022-07-06 06:00:00,561.0,87.0,10.67,1,3.0,2022,7,6,6,4,3
2,2022-07-06 07:00:00,1637.0,110.0,27.11,7,2.0,2022,7,6,7,4,2
3,2022-07-06 07:00:00,561.0,65.5,12.035,2,3.0,2022,7,6,7,4,3
4,2022-07-06 09:00:00,501.0,63.5,12.705,2,2.0,2022,7,6,9,4,2
5,2022-07-06 09:00:00,380.0,62.5,9.51,6,3.0,2022,7,6,9,4,3
6,2022-07-06 09:00:00,605.0,65.0,16.48,8,2.0,2022,7,6,9,4,2
7,2022-07-06 09:00:00,757.0,80.0,21.48,13,2.0,2022,7,6,9,4,2
8,2022-07-06 10:00:00,301.0,88.0,7.23,18,3.0,2022,7,6,10,4,3
9,2022-07-06 10:00:00,181.0,79.0,5.2200003,10,2.0,2022,7,6,10,4,2
10,2022-07-06 10:00:00,380.0,94.0,7.8,3,3.0,2022,7,6,10,4,3
11,2022-07-06 10:00:00,2065.0,130.0,21.17,15,1.0,2022,7,6,10,4,1
12,2022-07-06 10:00:00,1963.0,194.0,17.4,6,2.0,2022,7,6,10,4,2
13,2022-07-06 10:00:00,866.0,148.0,12.96,7,3.0,2022,7,6,10,4,3
14,2022-07-06 10:00:00,501.0,62.0,12.84,9,2.0,2022,7,6,10,4,2
15,2022-07-06 10:00:00,1676.0,124.5,23.17,10,2.0,2022,7,6,10,4,2
16,2022-07-06 11:00:00,1102.0,60.0,24.585,4,1.0,2022,7,6,11,4,1
17,2022-07-06 11:00:00,316.0,97.0,8.4,9,3.0,2022,7,6,11,4,3
18,2022-07-06 11:00:00,561.0,84.5,10.83,4,3.0,2022,7,6,11,4,3
19,2022-07-06 13:00:00,839.0,61.0,20.595001,6,2.0,2022,7,6,13,4,2
20,2022-07-06 13:00:00,361.0,143.0,6.13,5,4.0,2022,7,6,13,4,4
21,2022-07-06 14:00:00,3266.0,245.0,20.415,6,2.0,2022,7,6,14,4,2
22,2022-07-06 14:00:00,1075.0,101.0,17.62,3,3.0,2022,7,6,14,4,3
23,2022-07-06 14:00:00,2007.0,138.0,21.85,3,1.0,2022,7,6,14,4,1
24,2022-07-06 14:00:00,1698.0,96.5,25.945,4,1.0,2022,7,6,14,4,1
